อัตราค่าบริการเช่าอุปกรณ์และสิ่งอำนวยความสะดวกในการผลิตรายการ,,,,,,
,,,,,,
ลำดับ,รายการ,ราคาทั่วไป (เดิม),อัตราค่าบริการ (บาท),หมายเหตุ,,
1,"ชุดถ่ายทอด OB  3  กล้อง + SW+บันทึก (8  ชม.) (ช่างกล้อง,SW,ช่างเสียง,CCU)",45000,"45,000*",เฉพาะกรุงเทพและปริมณฑล,,
,,,,"ต่างจังหวัดระยะทางไม่เกิน 400 กม. คิดเพิ่มวันละ 10,000 บาท หากเกิน  400 กม. คิดเพิ่มวันละ 20,000 บาท ",,
,"ชุดถ่ายทอด OB  3  กล้อง + SW+บันทึก (8  ชม.)  (ผู้ช่วยกล้อง,เสียง,CCU)",35000,"35,000*",เฉพาะกรุงเทพและปริมณฑล,,
,,,,"ต่างจังหวัดระยะทางไม่เกิน 400 กม. คิดเพิ่มวันละ 10,000 บาท หากเกิน  400 กม. คิดเพิ่มวันละ 20,000 บาท ",,
2,กล้องใหญ่ ,5000,"5,000","ระยะเวลาการใช้งานไม่เกิน 12 ชั่วโมง หากเกินคิดเพิ่มชั่วโมงละ 1,000.- บาท",,
3,กล้องใหญ่ + CCU+Remote,7500,"7,500","ระยะเวลาการใช้งานไม่เกิน 12 ชั่วโมง หากเกินคิดเพิ่มชั่วโมงละ 1,000.- บาท",,
4,กล้องเล็ก,1500-2000,"1,500-2,000",ระยะเวลาการใช้งานไม่เกิน 12 ชั่วโมง หากเกินคิดเพิ่มชั่วโมงละ 100.- บาท,,
5,กล้อง DSLR,700-1500,"700-1,500",ระยะเวลาการใช้งานไม่เกิน 12 ชั่วโมง หากเกินคิดเพิ่มชั่วโมงละ 100.- บาท,,
6,เลนซ์ ขนาด 40,15000,"10,000","ระยะเวลาการใช้งานไม่เกิน 12 ชั่วโมง หากเกินคิดเพิ่มชั่วโมงละ 1,000.- บาท",,
7,เลนซ์ ขนาด 60,20000,"15,000","ระยะเวลาการใช้งานไม่เกิน 12 ชั่วโมง หากเกินคิดเพิ่มชั่วโมงละ 1,000.- บาท",,
8,เลนซ์ ขนาด 72,25000,"20,000","ระยะเวลาการใช้งานไม่เกิน 12 ชั่วโมง หากเกินคิดเพิ่มชั่วโมงละ 1,000.- บาท",,
